t1_mass,rx_mass,ry_mass,rz_mass,Vx_mass,Vy_mass,Vz_mass,Lam1_mass,Lam2_mass,Lam3_mass,omx_mass,omy_mass,omz_mass,Omx_mass,Omy_mass,Omz_mass,Lam_tr_mas1,Lam_tr_mas2,Lam_tr_mas3,Fi_mas,Fi_mas_tr
355.999999999821,1127348.46293189,-5901277.32351744,3879592.33714272,4268.89337900872,-4150.37360531853,-6018.03266481118,2.52493623253071e-10,-2.88601687532396e-09,0.0873214041649551,-1.93839780461841e-17,-2.49855750066376e-10,-4.1062005818258e-10,2.62224643155966,0.687466652332612,1.04609689999409,0,0,0.0871557427476591,0.123688044981939,0.174532925199435
356.99999999982,1131616.74174788,-5905424.48340107,3873572.18785734,4267.66354877125,-4143.94577720786,-6022.26456799977,2.63371521879778e-10,-3.01035193615024e-09,0.087321403961369,-1.93340053168628e-17,-2.48734649318695e-10,-4.10758462186239e-10,2.6222464315384,0.687048070288696,1.0454474464204,0,0,0.0871557427476591,0.123688044868996,0.174532925199435
357.999999999819,1135883.78862194,-5909565.21430487,3867547.81068317,4266.42949606831,-4137.51564811521,-6026.48844185965,2.74200491953656e-10,-3.13412774072432e-09,0.0873214037577128,-1.92825131528105e-17,-2.47613084310853e-10,-4.10892538189445e-10,2.62224643151594,0.686614030563746,1.04477241102449,0,0,0.0871557427476591,0.12368804475514,0.174532925199435
358.999999999819,1140149.59933434,-5913699.51393527,3861519.21365113,4265.19122635652,-4131.08323291393,-6030.70428317793,2.84980513566838e-10,-3.25734406148828e-09,0.0873214035539891,-1.92299969139103e-17,-2.46491071088921e-10,-4.11022345248495e-10,2.62224643149228,0.686164603880216,1.04407178569663,0,0,0.0871557427476591,0.1236880446404,0.174532925199435
359.999999999818,1144414.16967081,-5917827.38001361,3855486.40479538,4263.94874510378,-4124.64854647101,-6034.91208877754,2.9571156751069e-10,-3.38000067887993e-09,0.0873214033501998,-1.91764600208001e-17,-2.45368625672413e-10,-4.11147879609499e-10,2.62224643146743,0.685699860985811,1.04334556258164,0,0,0.0871557427476591,0.123688044524781,0.174532925199435
360.999999999817,1148677.49542253,-5921948.81027609,3849449.3921532,4262.70205778923,-4118.21160364695,-6039.11185551726,3.06393635275106e-10,-3.5020973813203e-09,0.087321403146347,-1.91218086162172e-17,-2.44245764054388e-10,-4.11269102301731e-10,2.62224643144139,0.685219872652491,1.04259373408207,0,0,0.0871557427476591,0.12368804440827,0.174532925199435
361.999999999816,1152939.5723862,-5926063.80247373,3843408.183765,4261.45116990318,-4111.77241929568,-6043.30358029162,3.17026699047143e-10,-3.62363396519972e-09,0.0873214029424329,-1.90663741493508e-17,-2.43122502198971e-10,-4.11386081628319e-10,2.62224643141416,0.684724709675469,1.04181629287578,0,0,0.0871557427476591,0.123688044290879,0.174532925199435
362.999999999815,1157200.39636398,-5930172.35437245,3837362.78767429,4260.19608694705,-4105.33100826444,-6047.48726003092,3.27610741709609e-10,-3.74461023486334e-09,0.0873214027384597,-1.90106429011395e-17,-2.41998856041498e-10,-4.11498957530518e-10,2.62224643138576,0.6842144428722,1.04101323191115,0,0,0.0871557427476591,0.123688044172607,0.174532925199435
363.999999999814,1161459.96316357,-5934274.46375298,3831313.21192763,4258.93681443333,-4098.88738539368,-6051.66289170119,3.38145746840148e-10,-3.8650260025978e-09,0.0873214025344291,-1.89538353946719e-17,-2.40874841493187e-10,-4.11607571689303e-10,2.62224643135617,0.683689143081391,1.04018454436019,0,0,0.0871557427476591,0.123688044053427,0.174532925199435
364.999999999813,1165718.26859817,-5938370.1284109,3825259.46457458,4257.67335788553,-4092.44156551703,-6055.83047230417,3.48631698710147e-10,-3.98488108861773e-09,0.0873214023303439,-1.88962229525117e-17,-2.39750474433936e-10,-4.11711983255566e-10,2.62224643132542,0.68314888116201,1.03933022368315,0,0,0.0871557427476591,0.123688043933446,0.174532925199435
365.999999999812,1169975.30848651,-5942459.34615662,3819201.5536677,4256.40572283811,-4085.99356346112,-6059.98999887725,3.59068582283181e-10,-4.10417532105051e-09,0.0873214021262054,-1.88379943873248e-17,-2.38625770714666e-10,-4.11812247233049e-10,2.62224643129349,0.682593727992269,1.03845026360024,0,0,0.0871557427476591,0.123688043812548,0.174532925199435
366.999999999811,1174231.07865286,-5946542.11481536,3813139.48726248,4255.13391483643,-4079.54339404554,-6064.14146849348,3.69456383213965e-10,-4.22290853592238e-09,0.087321401922016,-1.87787604264242e-17,-2.37500746158971e-10,-4.11908271238998e-10,2.6222464312604,0.682023754468662,1.0375446580733,0,0,0.0871557427476591,0.123688043690774,0.174532925199435
367.99999999981,1178485.57492705,-5950618.43222719,3807073.27341732,4253.85793943669,-4073.09107208271,-6068.28487826153,3.79795087846842e-10,-4.34108057714328e-09,0.0873214017177779,-1.87189529736086e-17,-2.36375416558282e-10,-4.12000169376615e-10,2.62224643122615,0.681439031504946,1.03661340134995,0,0,0.0871557427476591,0.123688043568156,0.174532925199435
368.999999999809,1182738.79314446,-5954688.29624695,3801002.92019352,4252.57780220591,-4066.6366123778,-6072.42022532563,3.90084683214771e-10,-4.45869129649261e-09,0.0873214015134931,-1.86580086463196e-17,-2.35249797677569e-10,-4.12087804564508e-10,2.62224643119075,0.680839630031168,1.0356564879057,0,0,0.0871557427476591,0.123688043444679,0.174532925199435
369.999999999808,1186990.72914604,-5958751.7047443,3794928.43565518,4251.29350872181,-4060.18002972865,-6076.54750686559,4.00325157037727e-10,-4.57574055360383e-09,0.0873214013091634,-1.85965750308397e-17,-2.34123905247821e-10,-4.12171339357124e-10,2.6222464311542,0.680225620992673,1.03467391251287,0,0,0.0871557427476591,0.123688043320311,0.174532925199435
370.999999999808,1191241.37877835,-5962808.65560369,3788849.82786923,4250.00506457282,-4053.72133892564,-6080.66672009671,4.10516497721441e-10,-4.69222821594926e-09,0.0873214011047914,-1.85346525829275e-17,-2.32997754971534e-10,-4.12250798171801e-10,2.6222464311165,0.679597075349119,1.03366567018516,0,0,0.0871557427476591,0.123688043195106,0.174532925199435
371.999999999807,1195490.7378935,-5966859.14672436,3782767.10490534,4248.71247535799,-4047.26055475165,-6084.77786226983,4.20658694356208e-10,-4.80815415882529e-09,0.0873214009003787,-1.84716351546501e-17,-2.31871362522577e-10,-4.12326054947446e-10,2.62224643107765,0.678954064073495,1.03263175617574,0,0,0.0871557427476591,0.12368804306906,0.174532925199435
372.999999999806,1199738.80234924,-5970903.17602033,3776680.27483595,4247.41574668694,-4040.7976919819,-6088.8809306712,4.30751736715742e-10,-4.92351826533766e-09,0.0873214006959274,-1.84077396556918e-17,-2.30744743541718e-10,-4.12397141805182e-10,2.62224643103768,0.678296658151136,1.03157216601573,0,0,0.0871557427476591,0.123688042942155,0.174532925199435
373.999999999805,1203985.56800893,-5974940.74142038,3770589.34573615,4246.11488417981,-4034.3327653839,-6092.97592262253,4.40795615255554e-10,-5.03832042638527e-09,0.0873214004914399,-1.83428559015512e-17,-2.29617913639219e-10,-4.12464015141419e-10,2.62224643099657,0.677624928578744,1.03048689548439,0,0,0.0871557427476591,0.123688042814407,0.174532925199435
374.999999999804,1208231.03074153,-5978971.84086808,3764494.32568373,4244.80989346719,-4027.86578971734,-6097.06283548092,4.5079032111115e-10,-5.15256054064335e-09,0.0873214002869179,-1.82781320594658e-17,-2.28490888389367e-10,-4.12526984772052e-10,2.62224643095433,0.676938946363421,1.02937594066273,0,0,0.0871557427476591,0.123688042685774,0.174532925199435
375.999999999803,1212475.18642168,-5982996.47232172,3758395.22275909,4243.5007801901,-4021.39677973402,-6101.14166663882,4.60735846097234e-10,-5.26623851454888e-09,0.0873214000823634,-1.82118161347438e-17,-2.27363683343707e-10,-4.12585662809152e-10,2.62224643091098,0.676238782521676,1.02823929780093,0,0,0.0871557427476591,0.123688042556347,0.174532925199435
376.999999999802,1216718.03092961,-5987014.63375435,3752292.04504521,4242.18754999989,-4014.92575017772,-6105.21241352404,4.70632182706742e-10,-5.37935426228618e-09,0.0873213998777787,-1.81444636964728e-17,-2.26236314015927e-10,-4.12640124259518e-10,2.62224643086651,0.675524508078465,1.02707696346391,0,0,0.0871557427476591,0.123688042426066,0.174532925199435
377.999999999801,1220959.56015126,-5991026.3231538,3746184.80062765,4240.87020855823,-4008.45271578413,-6109.27507359967,4.80479324108265e-10,-5.49190770576784e-09,0.0873213996731659,-1.80771859866247e-17,-2.25108795884006e-10,-4.12690653597834e-10,2.62224643082094,0.67479619406622,1.02588893449915,0,0,0.0871557427476591,0.123688042294933,0.174532925199435
378.9999999998,1225199.7699782,-5995031.53852256,3740073.49759445,4239.54876153702,-4001.97769128075,-6113.32964436407,4.90277264145099e-10,-5.60389877461925e-09,0.0873213994685269,-1.80091516296685e-17,-2.23981144399274e-10,-4.12737099317061e-10,2.62224643077425,0.674053911523872,1.02467520795501,0,0,0.0871557427476591,0.123688042162959,0.174532925199435
379.999999999799,1229438.6563077,-5999030.27787789,3733958.14403618,4238.22321461835,-3995.50069138681,-6117.37612335084,5.00025997334209e-10,-5.71532740616346e-09,0.0873213992638637,-1.79399126364049e-17,-2.2285337497965e-10,-4.12779360990089e-10,2.62224643072646,0.673297731495887,1.02343578114168,0,0,0.0871557427476591,0.12368804203018,0.174532925199435
380.999999999798,1233676.2150427,-6003022.53925177,3727838.74804582,4236.89357349445,-3989.02173081315,-6121.41450812878,5.09725518864791e-10,-5.82619354540491e-09,0.0873213990591783,-1.7870037675045e-17,-2.21725503007153e-10,-4.12817540716809e-10,2.62224643067758,0.672527725031307,1.0221706516498,0,0,0.0871557427476591,0.12368804189655,0.174532925199435
381.999999999798,1237912.44209185,-6007008.32069086,3721715.31771879,4235.55984386761,-3982.54082426218,-6125.44479630182,5.19375824596127e-10,-5.93649714501089e-09,0.0873213988544729,-1.77996234258247e-17,-2.20597543830468e-10,-4.12851685491849e-10,2.6222464306276,0.671743963182777,1.02087981731769,0,0,0.0871557427476591,0.123688041762094,0.174532925199435
382.999999999797,1242147.33336951,-6010987.62025653,3715587.86115287,4234.22203145015,-3976.05798642772,-6129.46698550908,5.28976911056676e-10,-6.04623816529601e-09,0.0873213986497492,-1.77279859541576e-17,-2.19469512767458e-10,-4.1288163771719e-10,2.62224643057654,0.670946517005595,1.0195632762121,0,0,0.0871557427476591,0.123688041626844,0.174532925199435
383.999999999796,1246380.88479573,-6014960.43602485,3709456.3864482,4232.88014196437,-3969.57323199496,-6133.48107342471,5.38528775442793e-10,-6.15541657420603e-09,0.0873213984450097,-1.76556941794554e-17,-2.18341425098765e-10,-4.12907489588965e-10,2.6222464305244,0.670135457556744,1.01822102668499,0,0,0.0871557427476591,0.123688041490746,0.174532925199435
384.999999999795,1250613.09229632,-6018926.76608655,3703320.90170721,4231.53418114247,-3963.08657564036,-6137.48705775797,5.48031415616123e-10,-6.26403234729793e-09,0.0873213982402561,-1.75832729388043e-17,-2.17213296069138e-10,-4.12929426112127e-10,2.62224643047119,0.669310855893944,1.01685306735334,0,0,0.0871557427476591,0.123688041353807,0.174532925199435
